Finish Type,Finish Name,Finish SKU/Code,Finish Image URL,Collection,Product Name,Product URL
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Sling Adjustable Chaise Lounge,https://www.owlee.com/collections/arc/50314-2/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Center Sectional,https://www.owlee.com/collections/arc/arc-center-sectional/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Corner Sectional,https://www.owlee.com/collections/arc/arc-corner-sectional/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Left Sectional,https://www.owlee.com/collections/arc/arc-left-sectional/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Love Seat,https://www.owlee.com/collections/arc/arc-love-seat/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Right Sectional,https://www.owlee.com/collections/arc/arc-right-sectional/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Bar Stool,https://www.owlee.com/collections/arc/bar-stool/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Counter Stool,https://www.owlee.com/collections/arc/counter-stool/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Dining Arm Chair,https://www.owlee.com/collections/arc/dining-arm-chair/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Dining Side Chair,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Lounge Chair,https://www.owlee.com/collections/arc/lounge-chair/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Ottoman,https://www.owlee.com/collections/arc/ottoman/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Sable,SP22,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Sand Dollar,AZ53,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Sandalwood,TC20,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Shadow Grey,TG56,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Velvet White,VT25,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg,Arc,Arc Sofa,https://www.owlee.com/collections/arc/sofa/
Frame Finish,Carbon Black,TG68,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg,Arc,Swivel Rocker Dining Arm Chair,https://www.owlee.com/collections/arc/swivel-rocker-dining-arm-chair/
Frame Finish,Copper Creek,SP50,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg,Arc,Swivel Rocker Dining Arm Chair,https://www.owlee.com/collections/arc/swivel-rocker-dining-arm-chair/
Frame Finish,Espresso,SP42,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg,Arc,Swivel Rocker Dining Arm Chair,https://www.owlee.com/collections/arc/swivel-rocker-dining-arm-chair/
Frame Finish,Graphite,SP21,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg,Arc,Swivel Rocker Dining Arm Chair,https://www.owlee.com/collections/arc/swivel-rocker-dining-arm-chair/
Frame Finish,Rosewood,SP11,https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg,Arc,Swivel Rocker Dining Arm Chair,https://www.owlee.com/collections/arc/swivel-rocker-dining-arm-chair/
