Product Name,SKU,Collection,Material Type,Category,Dimensions,Seat Size,Deck Height,Cushion Info,Description,Features,Tags,Brand,Product URL,Image URL,Additional Images
6510 Lounge Chair,NC6510C,6510,Woven,Deep Seating & Lounge,30” x 29” x 31” ht,22” x 23”,12.5” CUSH6510-C: 2 pc. cushion,CUSH6510-C: 2 pc,"Lounge Chair With Cushions, with it, is light gray-colored wicker with a full round design, comfortably seats 1 adult. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance | Sunbrella® cushion covers provide unmatched fade, moisture and mildew resistance, and can be easily unzipped for cleaning | Assembly Required: Yes | Seat Height Without Cushion 17” | Seat Cushion Thickness 4.5” | Seat Size: 22” x 23”, Deck ht: 12.5”",Club Chairs,NorthCape,https://www.northcape.com/product/6510-lounge-chair/,https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-2.jpg,https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-3.jpg | https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-1.jpg | https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-7.jpg | https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-4.jpg | https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-5.jpg | https://www.northcape.com/wp-content/uploads/2022/01/lounge-chiar-6.jpg
6510 Loveseat,NC6510LS,6510,Woven,Deep Seating & Lounge,52” x 29” x 31” ht,44” x 23”,12.5” CUSH6510 -LS: 4 pc. cushion,CUSH6510 -LS: 4 pc,"Loveseat with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 2 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade and mildew resistant fabric.","Thick-gauged, powder-coated aluminum frame offers long lasting durability and rust resistance | Plush, overstuffed cushions are made from quick-drying polyurethane foam | Frame Material: Wicker/Rattan | Seat Height Without Cushion 17” | Seat Cushion Thickness 4.5” | Back Cushion Thickness 4.5” | Product Care: Clean with mild soap and water | Assembly Required: Yes",Loveseats,NorthCape,https://www.northcape.com/product/6510-loveseat/,https://www.northcape.com/wp-content/uploads/2022/01/love-seat-2.jpg,https://www.northcape.com/wp-content/uploads/2022/01/love-seat-3.jpg | https://www.northcape.com/wp-content/uploads/2022/01/love-seat-7.jpg | https://www.northcape.com/wp-content/uploads/2022/01/love-seat-1.jpg | https://www.northcape.com/wp-content/uploads/2022/01/love-seat-4.jpg | https://www.northcape.com/wp-content/uploads/2022/01/love-seat-5.jpg | https://www.northcape.com/wp-content/uploads/2022/01/love-seat-6.jpg
6510 Sofa,NC65103S,6510,Woven,Deep Seating & Lounge,74” x 29” x 31” ht,66” x 23”,12.5” CUSH6510-3S: 6 pc. cushion,CUSH6510-3S: 6 pc,"Sofa with Cushions, with its light beige-colored wicker with a full round design, comfortably seats 3 adults. Each strand of this outdoor wicker is made from High-Density Polyethylene and comes with cushions that are covered in fade- and mildew- resistant fabric.","Wicker/Rattan | Full-round wicker design gives it a more tactile, luxurious texture and look | Includes 2 small back buttons, no welt | Plush, overstuffed cushions are made from quick-drying polyurethane foam | Full-sized design provides deep, comfortable seating | Leg material: Polywood | Frame Material: Wicker/Rattan | Seat Height Without Cushions 17″ | Seat and Back Seat Cushion Thickness 6″ | Seat Depth – Front to Back 13″ | Seat Back Height 18″ | Back cushions: 18″ H x 22″ W x 6″ D | Seat cushions: 6″ H x 22″ W x 13″ D | Product Care: Clean with mild soap and water | Assembly Required: Yes",Sofas,NorthCape,https://www.northcape.com/product/6510-sofa/,https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as3.jpg,https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as2.jpg | https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as1.jpg | https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as7.jpg | https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as4.jpg | https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as5.jpg | https://www.northcape.com/wp-content/uploads/2022/01/nc65103s_1000as6.jpg
6510 Swivel Rocker,NC6510SR,6510,Woven,Deep Seating & Lounge,30” x 29” x 31” ht,22” x 23”,12.5” CUSH6510-C: 2 pc. cushion,CUSH6510-C: 2 pc,Swivel Rocking Chair With Cushions not only rocks but it also swivels. The beige-colored outdoor wicker is made from high-density polyethylene that partnered with cushions covered in fade- and mildew-resistant Sunbrella fabric which creates a wonderfully comfortable experience.,"Weight Capacity: 250 lb. | Assembly Required: No | Seat 30” W x 29” D | Seat Size: 22” x 23”, Deck ht: 12.5” | Seat Height – Floor to Seat 13” | Seat Cushion Thickness 6”",Swivel Gliders/Rockers,NorthCape,https://www.northcape.com/product/6510-swivel-rocker/,https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-2.jpg,https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-3.jpg | https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-8.jpg | https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-7.jpg | https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-4.jpg | https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-5.jpg | https://www.northcape.com/wp-content/uploads/2022/01/swivel-chair-6.jpg
Capri Lounge Chair,NC6100C,Aluminum Sling,Aluminum Sling,Deep Seating & Lounge,24” X 29” X 37” ht,,17”,,"Part of the Aluminum Sling Collection that is super comfortable seating pieces feature a graceful waterfall design. This collection features a durable, rust-proof aluminum frame with a UV-resistant powder coated finish and deluxe weather-resistant sling material that drains well and is easy to clean. Available in multiple finishes and fabrics!","Heavy Gauge Tubular Aluminum Frame | Textilene Sling Seating | Your Choice of Fabrics and Finish Combinations | Transitional Style | Quick Drying | Stackable | Seat: 19” x 19”, Deck ht: 17”",Club Chairs,NorthCape,https://www.northcape.com/product/capri-lounge-chair/,https://www.northcape.com/wp-content/uploads/2017/11/nc6100c.jpg,
Bainbridge 3 Seat Sofa,NC2753S,Bainbridge,Woven,Deep Seating & Lounge,81” x 32.5” x 33” ht,75” x 25”,13” Cush270/271-3S: 6 pc. cushion,Cush270/271-3S: 6 pc,"The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural look.","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Cush270/271 | Frame: 81 W x 32.5″ D x 33″ H | Seat: 75″ W x 25″ D x 13″ H | 6″ Cushion thickness",Sofas,NorthCape,https://www.northcape.com/product/bainbridge-3-seat-sofa/,https://www.northcape.com/wp-content/uploads/2017/11/nc2753s.jpg,
Bainbridge 45 Degree Corner Chair,NC275SCC-45,Bainbridge,Woven,Deep Seating & Lounge,62.5” x 33.5” x 33” ht,57.5” x 32”,13” Cush270/271SCC-45: 3 pc. cushion,Cush270/271SCC-45: 3 pc,"The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Frame – 62.5″ D x 33.5 “W x 33” H | Seat – 62.5″ D x 33.5 “W x 33” H | 6″ Cushion thickness",Sectionals,NorthCape,https://www.northcape.com/product/bainbridge-45-degree-corner-chair/,https://www.northcape.com/wp-content/uploads/2017/11/nc275scc45.jpg,
Bainbridge 90° Corner Sectional Chair,NC275SCC,Bainbridge,Woven,Deep Seating & Lounge,32.5” x 32.5” x 33” ht,25” x 25”,13” Cush270/271-SCC: 3 pc. cushion,Cush270/271-SCC: 3 pc,"This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Frame – 32.5 W x 32.5″ D x 33″ H | Seat – 25″ W x 25″ D x 13″ H | 6″ Cushion thickness",Sectionals,NorthCape,https://www.northcape.com/product/bainbridge-90-corner-sectional-chair/,https://www.northcape.com/wp-content/uploads/2017/11/nc275scc.jpg,
Bainbridge Club Chair,NC275C,Bainbridge,Woven,Deep Seating & Lounge,31” x 32.5” x 33” ht,25” x 25”,13” Cush270/271-C: 2 pc. cushion,Cush270/271-C: 2 pc,"Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort",Club Chairs,NorthCape,https://www.northcape.com/product/bainbridge-club-chair/,https://www.northcape.com/wp-content/uploads/2023/01/NC275C_Canvas-Natural.jpg,
Bainbridge Left Arm Sectional Loveseat,NC275LL,Bainbridge,Woven,Deep Seating & Lounge,53” x 32.5” x 33” ht,50” x 25”,13” Cush270/271-LS: 4 pc. cushion,Cush270/271-LS: 4 pc,"The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast delivery!","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Frame: 53 W x 32.5″ D x 33″ H | Seat: 50″ W x 25″ D x 13″ H | 6″ Cushion thickness","Loveseats, Sectionals",NorthCape,https://www.northcape.com/product/bainbridge-left-arm-sectional-loveseat/,https://www.northcape.com/wp-content/uploads/2017/11/nc275ll.jpg,
Bainbridge Loveseat,NC275LS,Bainbridge,Woven,Deep Seating & Lounge,56” x 32.5” x 33” ht,50” x 25”,13” Cush270/271-LS: 4 pc. cushion,Cush270/271-LS: 4 pc,"The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural look.","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Cush270/271 | Frame: 56 W x 32.5″ D x 33″ H | Seat: 50″ W x 25″ D x 13″ H | 6″ Cushion thickness",Loveseats,NorthCape,https://www.northcape.com/product/bainbridge-loveseat/,https://www.northcape.com/wp-content/uploads/2017/11/nc275ls.jpg,
Bainbridge Right Arm Sectional Loveseat,NC275RL,Bainbridge,Woven,Deep Seating & Lounge,53” x 32.5” x 33” ht,50” x 25”,13” Cush270/271-LS: 4 pc. cushion,Cush270/271-LS: 4 pc,"The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This outdoor wicker sectional couch includes long lasting Sunbrella fabric cushions, with quick-ship options for fast delivery!","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Frame: 53 W x 32.5″ D x 33″ H | Seat: 50″ W x 25″ D x 13″ H | 6″ Cushion thickness","Loveseats, Sectionals",NorthCape,https://www.northcape.com/product/bainbridge-right-arm-sectional-loveseat/,https://www.northcape.com/wp-content/uploads/2017/11/nc275rl.jpg,
Bainbridge Sectional Middle Chair,NC275SCM,Bainbridge,Woven,Deep Seating & Lounge,25” x 32.5” x 33” ht,25” x 25”,13” Cush270/271-C: 2 pc. cushion,Cush270/271-C: 2 pc,"Blending both style and comfort, the Bainbridge Wicker Sectional Middle Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort","Sectionals, Middle Chairs",NorthCape,https://www.northcape.com/product/bainbridge-sectional-middle-chair/,https://www.northcape.com/wp-content/uploads/2017/11/nc275scm.jpg,
Bainbridge Swivel Glider Club Chair,NC275SG,Bainbridge,Woven,Deep Seating & Lounge,31” x 32.5” x 33” ht,25” x 25”,13” Cush270/271-C: 2 pc. cushion,Cush270/271-C: 2 pc,"Blending both style and comfort, the Bainbridge Wicker Swivel Glider Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look.","Heavy duty rust proof powder coated aluminum frames | 6″ thick Outdoor cushions with Sunbrella fabrics included | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | High-back seating for extra comfort | Frame: 31″ W x 32.5″ D x 33″ H | Seat: 25″ W x 25″ D x 13″ H | 6″ Cushion thickness",Swivel Gliders/Rockers,NorthCape,https://www.northcape.com/product/bainbridge-swivel-glider-club-chair/,https://www.northcape.com/wp-content/uploads/2017/11/nc275sg.jpg,
Cabo 3 Seater Sofa,NC2703S,Cabo,Woven,Deep Seating & Lounge,81” x 32.5” x 33” ht,75” x 25”,13” Cush270/271-3S: 6 pc. cushion,Cush270/271-3S: 6 pc,"Outdoor sofa seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 75” x 25”, Deck Ht: 13”",Sofas,NorthCape,https://www.northcape.com/product/cabo-3-seater-sofa/,https://www.northcape.com/wp-content/uploads/2017/12/dsc_4766.jpg,
Cabo 45 Sectional Corner,NC270SCC-45,Cabo,Woven,Deep Seating & Lounge,62.5” x 33.5” x 33” ht,57.5” x 32”,13” Cush270/271SCC-45: 3 pc. cushion,Cush270/271SCC-45: 3 pc,"Outdoor 45 sectional corner with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 57.5” x 32”, Deck Ht: 13”",Sectionals,NorthCape,https://www.northcape.com/product/cabo-45-sectional-corner/,https://www.northcape.com/wp-content/uploads/2022/01/NC270-SCC-45-JBFL-1.jpg,
Cabo Club Chair,NC270C,Cabo,Woven,Deep Seating & Lounge,31” x 32.5” x 33” ht,25” x 25”,13” Cush270/271-C: 2 pc. cushion,Cush270/271-C: 2 pc,"Outdoor club chair seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 25” x 25”, Deck Ht: 13”",Club Chairs,NorthCape,https://www.northcape.com/product/cabo-club-chair/,https://www.northcape.com/wp-content/uploads/2023/01/Cabo-Canvas-Canvas.jpg,
Cabo Corner Chair,NC270SCC,Cabo,Woven,Deep Seating & Lounge,32.5” x 32.5” x 33” ht,25” x 25”,13” Cush270/271SCC: 3 pc. cushion,Cush270/271SCC: 3 pc,"Corner Chair with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | Sectional Pieces Available",Sectionals,NorthCape,https://www.northcape.com/product/cabo-corner-chair/,https://www.northcape.com/wp-content/uploads/2022/01/NC270-SCC-JBFL-1.jpg,
Cabo Left Arm Sectional Loveseat,NC270LL,Cabo,Woven,Deep Seating & Lounge,53” x 32.5” x 33” ht,50” x 25”,13” Cush270/271 -LS: 4 pc. cushion,Cush270/271 -LS: 4 pc,"Outdoor sectional loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 50” x 25”, Deck Ht: 13”","Loveseats, Sectionals",NorthCape,https://www.northcape.com/product/cabo-left-arm-sectional-loveseat/,https://www.northcape.com/wp-content/uploads/2017/12/cabo_leftloveseat.jpg,
Cabo Loveseat,NC270LS,Cabo,Woven,Deep Seating & Lounge,56” x 32.5” x 33” ht,50” x 25”,13” Cush270/271-LS: 4 pc. cushion,Cush270/271-LS: 4 pc,"Outdoor loveseat seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 50” x 25”, Deck Ht: 13”",Loveseats,NorthCape,https://www.northcape.com/product/cabo-loveseat/,https://www.northcape.com/wp-content/uploads/2017/12/dsc_4767.jpg,
Cabo Right Arm Sectional Loveseat,NC270RL,Cabo,Woven,Deep Seating & Lounge,53” x 32.5” x 33” ht,50” x 25”,13” Cush270/271 -LS: 4 pc. cushion,Cush270/271 -LS: 4 pc,"Outdoor loveseat sectional seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 50” x 25”, Deck Ht: 13”","Loveseats, Sectionals",NorthCape,https://www.northcape.com/product/cabo-right-arm-sectional-loveseat/,https://www.northcape.com/wp-content/uploads/2017/12/cabo_right-loveseat.jpg,
Cabo Sectional Middle Chair,NC270SCM,Cabo,Woven,Deep Seating & Lounge,25” x 32.5” x 33” ht,25” x 25”,13” Cush270/271-SCM: 2 pc. cushion,Cush270/271-SCM: 2 pc,"Outdoor sectional middle seating with the incredibly modern and deep seated Cabo Wicker Collection. The UV-protected, wicker offers a flat woven design, creating a contemporary look with clean lines. This piece includes fade- and mildew-resistant Sunbrella® cushions, available in a wide selection of colors.","Flat woven design – Wicker/Rattan | Heavy duty rust proof powder coated aluminum frames | High density polyethylene (HDPE) all weather wicker is infused with UV inhibitors that prevent fading and cracking ordinarily caused by sunlight | Ultra stain, water, UV, crack and split resistant | Super comfortable suspension seating | Mold, mildew and fade resistant | Easy to maintain; Cleans with soap and water | 6″ thick Outdoor cushions with Sunbrella fabrics included | Cushion SKU: CUSH270/271 | Seat Size: 25” x 25”, Deck Ht: 13”","Sectionals, Middle Chairs",NorthCape,https://www.northcape.com/product/cabo-sectional-middle-chair/,https://www.northcape.com/wp-content/uploads/2017/12/cabo_secmiddle.jpg,
